,Paper Title,Authors,Year,Publication Venue,Index ID
0,Automated Deduction in Geometry,"Hoon Hong,Dongming Wang",2006,,0
1,A+ Certification Core Hardware (Text & Lab Manual),Charles J. Brooks,2003,,1
2,Performance engineering in industry: current practices and adoption challenges,"Ahmed Hassan,Parminder Flora",2007,,2
3,"Dude, You Can Do It! How to Build a Sweeet PC","Darrel Creacy,Carlito Vicencio",2005,,3
4,What Every Programmer Needs to Know about Security (Advances in information Security),"Neil Daswani,Anita Kesavan",2006,,4
5,Interpreting Kullback-Leibler divergence with the Neyman-earson lemma,"Shinto Eguchi,John Copas",2006,,5
6,Digital Media: Transformations in Human Communication,"Lee Humphreys,Paul Messaris",2006,,6
7,TOPP---the OpenMS proteomics pipeline,"Oliver Kohlbacher,Knut Reinert,Clemens Gröpl,Eva Lange,Nico Pfeifer,Ole Schulz-Trieglaff,Marc Sturm",2007,,7
8,Type Graphics and MacIntosh,John Blaint,1987,,8
9,Adaptive Hypermedia and Adaptive Web-Based Systems,"Vincent Wade,Helen Ashman,Barry Smyth",2006,,9
10,Dependable Computing,"Carlos Alberto Maziero,João Gabriel Silva,Aline Maria Santos Andrade,Flávio Morais de Assis Silva",2005,,1
11,Calculus Early Transcendentals Single Variable,Howard A. Anton,2006,,1
12,"Webbots, Spiders, and Screen Scrapers","Michael Schrenk,Michael Shrenk",2007,,1
13,Fast k-NN Classification Rule Using Metrics on Space-Filling Curves,"E. Skubalska-Rafajtowicz,A. Krzyzak",1996,Proceedings of the 13th International Conference on Pattern Recognition - Volume 2,1
14,Making the Digital City: The Early Shaping of Urban Internet Space (Design & the Built Environment S.),Alessandro Aurigi,2005,,1
15,Linspire 5.0: The No Nonsense Guide! (No Nonsense Guide! series),Eric Grebler,2005,,1
16,Podcasting for Profit: A Proven 10-Step Plan for Generating Income Through Audio and Video Podcasting,Allan Hunkin,2007,,1
17,Approximating fluid schedules in crossbar packet-switches and Banyan networks,"Michael Rosenblum,Constantine Caramanis,Michel X. Goemans,Vahid Tarokh",2006,IEEE/ACM Transactions on Networking (TON),1
18,Federated Identity Management And Web Services Security With IBM Tivoli Security Solutions,Axel Bucker,2005,,1
19,Start with a Digital Camera (Special Edition) (2nd Edition) (Start with a),John Odam,2003,,1
20,Open Process Frameworks: Patterns for the Adaptive e-Enterprise (Practitioners),David A. Marca,2005,,2
21,Fast and Efficient Context-Aware Services (Wiley Series on Communications Networking & Distributed Systems),"Danny Raz,Arto Tapani Juhola,Joan Serrat-Fernandez,Alex Galis",2006,,2
22,Multimedia Directory 1997,,1997,,2
23,"ASIS&T Thesaurus of Information Science, Technology, And Librarianship (Asist Monograph Series)","Alice Redmond-neal,Marjorie M. K. Hlava",2005,,2
24,On product covering in 3-tier supply chain models: natural complete problems for W[3] and W[4],"Jianer Chen,Fenghui Zhang",2006,Theoretical Computer Science,2
25,Inside SQL Server 2005 Tools (Microsoft Windows Server System Series),"Michael Raheem,Dima Sonkin,Thierry D'Hers,Kami LeMonds",2006,,2
26,Electronic Engineer's Handbook (Core Handbook CD-ROMs),Donald Christiansen,1999,,2
27,Call of Duty 2: Big Red One(tm) Official Strategy Guide (Official Strategy Guides),,2005,,2
28,Inside Microsoft Dynamics AX 4.0,"Arthur Greef,Michael Fruergaard Pontoppidan,Lars Dragheim Olsen,Palle Agermark,Hans J. Skovgaard",2006,,2
29,Wiley Plus/Web CT Stand-alone to accompany Java Concepts (Wiley Plus Products),Cay S. Horstmann,2006,,2
30,Modeling methodology b: distributed simulation and the high level architecture,,2006,Proceedings of the 38th conference on Winter simulation,3
31,Beginning Ruby on Rails (Wrox Beginning Guides),Steve Holzner,2006,,3
32,Introduction to Information Systems,R. Kelly Rainer,2007,,3
33,SUSE Linux Enterprise Server Administration (Course 3037),Jason Eckert,2006,,3
34,Hyperstat: Macintosh Hypermedia for Analyzing Data and Learning Statistics,David M. Lane,1993,,3
35,An Integrative Modelling Approach for Simulation and Analysis of Adaptive Agents,"Tibor Bosse,Catholijn M. Jonker,Jan Treur",2006,Proceedings of the 39th annual Symposium on Simulation,3
36,Notes from industry,Stanley Habib,1973,ACM SIGMICRONewsletter,3
37,A New Quadtree Decomposition Reconstruction Method,"J. Knipe,X. Li",1996,Proceedings of the 13th International Conference on Pattern Recognition - Volume 2,3
38,Computer Accounting with QuickBooks 2006,Donna Ulmer,2006,,3
39,Program Evaluation: Improving The Flow Of Information To The Congress,,2004,,3
40,Jocelyn Robert: Aucune de mes mains ne fait mal,Jocelyn Robert,2005,,4
41,Microprogramming for the hardware engineer,John R. Mick,1976,ACM SIGMICRO Newsletter,4
42,Special Edition Using Adobe Creative Suite 2 (Special Edition Using),Michael Smick,2005,,4
43,At Ease With Performa,Gene Orwell,1994,,4
44,Guia Visual de Microsoft Office 2000/ Microsoft Office 2000 Visual Guide (Guias Visuales),Jose Pedro Llamazares,2003,,4
45,Microsoft Expression Web: Visual QuickStart Guide,Nolan Hester,2007,,4
46,"TCP/IP Protocol Suite, 3 edition",Behrouz A. Forouzan,2005,,4
47,Conker's Bad Fur Day (Prima's Official Strategy Guide),,2001,,4
48,A control word model for detecting conflicts between microoperations,"Ted Lewis,Bruce Shriver",1975,ACM SIGMICRO Newsletter,4
49,Exploring Macintosh Concepts in Visually Oriented Computing & Computing Concepts for End Users,Ken Abernethy,2000,,5
50,KeyChamp 2.0 Macintosh Site License Package,Michael Cloran,2003,,5
51,Word Processing on Your MacIntosh,Rudolph Langer,1985,,5
52,Class-specific feature polynomial classifier for pattern classification and its application to handwritten numeral recognition,"Cheng-Lin Liu, Hiroshi Sako",2006,Pattern Recognition,5
53,F.E.A.R.: First Encounter Assault Recon (Prima Official Game Guide),Ron Dulin,2006,,5
54,Effects of reward expectancy on sequential eye movements in monkeys,"Jeong-woo Sohn,Daeyeol Lee",2006,Neural Networks,5
55,A method to compute distance between two categorical values of same attribute in unsupervised learning for categorical data set,"Amir Ahmad,Lipika Dey",2007,Pattern Recognition Letters,5
56,"ExamInsight For MCP / MCSE Certification: Installing, Configuring, and Administering Microsoft Windows XP Professional Exam 70-270 (ExamInsight)",Deborah Timmons,2004,,5
57,Computer Models of Musical Creativity,David Cope,2005,,5
58,"Computer Concepts Illustrated Complete, Sixth Edition (Illustrated (Thompson Learning))","June Jamrich Parsons,Dan Oja",2006,,5
59,Tips and Tuning Guide for MS Flight Simulator 2000,,2000,,6
60,Windows Vista All-in-One Desk Reference For Dummies (For Dummies (Computer/Tech)),Woody Leonhard,2006,,6
61,"Review of ""Bit-Slice Microprocessor Design by John Mick and James Brick"", McGraw-Hill Book Company, 1980",William J. Tracz,1982,ACM SIGMICRO Newsletter,6
62,DV Filmmaking: From Start to Finish (O'Reilly Digital Studio),Ian David Aronson,2006,,6
63,Ibook Fan Book: Smart and Beautiful to Boot (Ibook Fan Books),Derrick Story,2004,,6
64,GO Series: Microsoft Excel 2003 Volume 2 (Go With Microsoft Office),"Shelley Gaskin,John Preston,Sally Preston",2004,,6
65,Data Structures,Michael T. Goodrich,2004,,6
66,Hands-On Guide to Video Blogging and Podcasting: Emerging Media Tools for Business Communication (Hands-on Guide),"Lionel Felix,Damien Stolarz",2006,,6
67,Mage Knight(tm): Apocalypse Official Strategy Guide (Official Strategy Guides),,2006,,6
68,ECDL Advanced,"Brenden Munnelly,Paul Holden",2002,,6
69,The Effect of Faults on Network Expansion,"Amitabha Bagchi,Ankur Bhargava,Amitabh Chaudhary,David Eppstein,Christian Scheideler",2006,Theory of Computing Systems,7
70,Database Modeling in Biology: Practices and Challenges,"Zongmin Ma,Jake Chen",2007,,7
